Animal,Treatment,Duration Cued Block 1,Duration Cued Block 2,Duration Cued Block 3,Duration Cued Block 4,Duration Cued Block 5,Duration Spatial1 Block 1,Duration Spatial1 Block 2,Duration Spatial1 Block 3,Duration Spatial1 Block 4,Duration Spatial1 Block 5,Duration Spatial2 Block 1,Duration Spatial2 Block 2,Duration Spatial2 Block 3,Duration Spatial2 Block 4,Duration Spatial2 Block 5,Duration Spatial3 Block 1,Duration Spatial3 Block 2,Duration Spatial3 Block 3,Duration Spatial3 Block 4,Duration Spatial3 Block 5,Duration Cued,Duration Spatial1,Duration Spatial2,Duration Spatial3,Duration Spatial,Distance Cued Block 1,Distance Cued Block 2,Distance Cued Block 3,Distance Cued Block 4,Distance Cued Block 5,Distance Spatial1 Block 1,Distance Spatial1 Block 2,Distance Spatial1 Block 3,Distance Spatial1 Block 4,Distance Spatial1 Block 5,Distance Spatial2 Block 1,Distance Spatial2 Block 2,Distance Spatial2 Block 3,Distance Spatial2 Block 4,Distance Spatial2 Block 5,Distance Spatial3 Block 1,Distance Spatial3 Block 2,Distance Spatial3 Block 3,Distance Spatial3 Block 4,Distance Spatial3 Block 5,Distance Cued,Distance Spatial1,Distance Spatial2,Distance Spatial3,Distance Spatial,Speed Cued Block 1,Speed Cued Block 2,Speed Cued Block 3,Speed Cued Block 4,Speed Cued Block 5,Speed Spatial1 Block 1,Speed Spatial1 Block 2,Speed Spatial1 Block 3,Speed Spatial1 Block 4,Speed Spatial1 Block 5,Speed Spatial2 Block 1,Speed Spatial2 Block 2,Speed Spatial2 Block 3,Speed Spatial2 Block 4,Speed Spatial2 Block 5,Speed Spatial3 Block 1,Speed Spatial3 Block 2,Speed Spatial3 Block 3,Speed Spatial3 Block 4,Speed Spatial3 Block 5,Speed Cued,Speed Spatial1,Speed Spatial2,Speed Spatial3,Speed Spatial,Probe Entries 1,Probe Entries 2,Probe Entries 3,Probe Entries Ave,Probe Percent1,Probe Percent2,Probe Percent3,Probe Percent Ave,Probe2 Opposite %,Working Mem1 Duration Trial 1,Working Mem1 Duration Trial 2,Working Mem1 Duration Diff,Working Mem2 Duration Trial 1,Working Mem2 Duration Trial 2,Working Mem2 Duration Diff,Working Mem3 Duration Trial 1,Working Mem3 Duration Trial 2,Working Mem3 Duration Diff,Working Mem Duration Trial 1 Ave,Working Mem Duration Trial 2 Ave,Working Mem Duration Diff Ave,Working Mem1 Distance Trial 1,Working Mem1 Distance Trial 2,Working Mem1 Distance Diff,Working Mem2 Distance Trial 1,Working Mem2 Distance Trial 2,Working Mem2 Distance Diff,Working Mem3 Distance Trial 1,Working Mem3 Distance Trial 2,Working Mem3 Distance Diff,Working Mem Distance Trial 1 Ave,Working Mem Distance Trial 2 Ave,Working Mem Distance Diff Ave
1075,Ac,9.15,60,5.55,5.9,7.05,39.4,57.15,4.3,20.35,35.5,16.35,3.65,5.65,4.65,4.95,40.1,36.35,36.1,34.65,4.25,17.53,31.34,7.05,30.29,22.89333333,0.5925,10.895,0.6465,0.788,0.537,7.36,10.29,0.433,3.0075,6.001,2.3125,0.335,0.646,0.447,0.4205,6.3015,5.9405,5.7625,5.6515,0.1615,2.6918,5.4183,0.8322,4.7635,3.671333333,3.459915612,5.507133815,8.583182563,8.194041742,12.40592171,5.31040294,5.551603881,9.996027144,6.978180112,7.101920894,7.322976622,11.6119139,11.34085213,12.58662047,21.31370523,6.410632453,6.815949152,6.354033589,7.768220887,32.67809777,7.630039089,6.987626994,12.83521367,12.00538677,10.60940914,3,5,2,3,16.33,35.5,21.33,24.39,11,18.8,60,-41.2,12.5,20.2,-7.7,46.1,34.1,12,25.8,38.1,-12.3,3.597,11.123,-7.526,1.546,3.079,-1.533,7.484,5.119,2.365,4.209,6.440333333,-2.231333333
1076,Ac,58.25,15.95,12.3,10.6,8.55,16.15,27.45,26.35,9.65,30.7,18.45,9.1,5.65,3.8,7,22.3,14.95,5.15,8.65,19.2,21.13,22.06,8.8,14.05,14.97,8.745,2.537,2.0995,1.5445,1.0245,2.728,4.5855,4.182,1.142,4.2085,2.993,1.2145,0.447,0.2645,0.8685,3.884,2.0515,0.5655,1.1475,2.976,3.1901,3.3692,1.1575,2.1249,2.2172,6.71392703,6.26384629,6.085060211,6.866584089,8.313270309,5.903146968,6.053254415,6.792103736,9.810905144,9.948591428,6.208878956,9.984427456,68.73144178,15.21633815,9.270196377,6.040778944,7.238105155,9.692791359,8.250817312,7.424561121,6.848537586,7.701600338,21.88225654,7.729410778,12.43775589,3,10,3,5,22.5,54.67,37.67,38.28,13,17.9,14.4,3.5,26.8,10.1,16.7,14.9,29.7,-14.8,19.86666667,18.06666667,1.8,2.901,2.555,0.346,4.384,1.602,2.782,2.212,5.556,-3.344,3.165666667,3.237666667,-0.072
1077,Sh,19.65,34.7,15.9,5.05,4.95,10.45,6.15,7.9,13.75,17.5,27.6,6.2,4.7,4.45,4.35,7.65,36.7,13.4,3.7,11.6,16.05,11.15,9.46,14.61,11.74,3.9495,5.6315,2.257,0.572,0.6395,1.1955,0.6235,0.7695,1.89,1.2545,4.5685,0.839,0.328,0.438,0.365,0.8575,6.8175,1.9015,0.1325,1.4675,2.6099,1.1466,1.3077,2.2353,1.5632,5.430489723,6.587413291,9.134407739,9.529490361,8.158584904,8.735098117,10.5827957,13.17413757,7.344835469,18.40024888,7.271170964,7.387958018,71.2771595,10.51359771,12.22565092,11.41199018,6.141876009,14.388812,29.48694815,14.79365022,7.768077203,11.64742315,21.73510742,15.24465531,16.20906196,6,11,8,8,47,52.67,43,47.56,11.5,14.9,6,8.9,49.3,5.9,43.4,12.1,3.2,8.9,25.43333333,5.033333333,20.4,1.703,0.688,1.015,8.46,0.677,7.783,1.498,0.217,1.281,3.887,0.527333333,3.359666667
1078,Sh,39.05,7.45,16.3,15.05,8.75,52.7,8.2,5.8,10.15,4.75,47.3,33.35,4.35,3.85,6.4,44.65,31.55,6.25,3.9,8.7,17.32,16.32,19.05,19.01,18.12666667,6.517,1.2005,0.772,2.853,1.5285,10.4215,1.273,0.609,1.6925,0.6075,8.308,6.2015,0.6095,0.2245,0.8475,8.508,6.6055,0.7295,0.136,1.3715,2.5742,2.9207,3.2382,3.4701,3.209666667,6.10167727,6.18589891,#DIV/0!,6.163137623,6.204310208,5.032735393,6.444319944,75.35289187,7.025649371,8.760550615,5.737716881,5.399164857,8.565368257,25.90763562,7.58098111,5.268707569,29.47365754,#DIV/0!,65.54621851,7.33028887,#DIV/0!,20.52322944,10.63817334,#DIV/0!,#DIV/0!,6,6,7,6,40.67,28.33,31.33,33.44,20.67,45.4,60,-14.6,60,34.6,25.4,29.3,60,-30.7,44.9,51.53333333,-6.633333333,9.622,11.221,-1.599,10.741,5.875,4.866,5.5,11.516,-6.016,8.621,9.537333333,-0.916333333
1079,Sh,24.2,10.4,29.75,12.6,8.75,31.2,6.9,3.75,9.6,26.15,14.25,10.15,8.5,8.55,4.25,14.85,21.8,23.7,12.85,18.9,17.14,15.52,9.14,18.42,14.36,3.9575,1.674,5.1715,1.952,1.5995,6.0115,0.9755,0.3355,1.1435,4.46,2.0105,1.414,1.37,1.022,0.346,2.1885,3.365,4.3165,1.712,3.387,2.8709,2.5852,1.2325,2.9938,2.2705,6.344373092,6.17680709,5.769563346,7.01659988,5.68989784,5.329828539,#DIV/0!,14.79113384,8.846919763,6.159429654,8.767061275,7.194094516,7.039983248,8.469118871,12.70356481,7.05125561,6.683172112,5.504241295,11.79786576,5.639072482,6.199448249,#DIV/0!,8.834764544,7.335121451,#DIV/0!,6,11,2,6,26.5,54.17,19.5,33.39,11.5,25.1,37.3,-12.2,25.1,3.4,21.7,12.2,17.5,-5.3,20.8,19.4,1.4,4.31,7.713,-3.403,3.705,0.316,3.389,1.536,2.841,-1.305,3.183666667,3.623333333,-0.439666667
1080,Sh,42.9,21.05,33.6,10.65,6.95,10.3,9.45,5,9.85,4.95,25.5,10.8,6.7,3.8,7.2,60,60,40.8,9.35,7.75,23.03,7.91,10.8,35.58,18.09666667,7.111,2.856,5.2145,0.772,1.1445,1.4795,1.4045,0.5475,1.329,0.37,3.8965,1.25,0.807,0.319,0.9255,9.5515,9.149,5.6025,1.0245,0.793,3.4196,1.0261,1.4396,5.2241,2.563266667,6.002960218,7.382311825,7.056226563,13.45224636,6.94668201,6.98299803,7.173094386,9.23621665,12.22255365,18.65729253,6.610553446,9.29268812,8.200163027,12.96747968,11.3550057,6.287632372,6.558155207,7.992737945,13.13982213,43.90943348,8.168085395,10.85443105,9.685177994,15.57755623,12.03905509,6,11,7,8,53,43.17,39,45.06,13,11.5,9.1,2.4,28,23,5,60,60,0,33.16666667,30.7,2.466666667,1.447,1.512,-0.065,4.519,3.274,1.245,9.259,9.844,-0.585,5.075,4.876666667,0.198333333
1081,Fx,60,38.4,14.3,34.55,20.5,22.65,10.25,13.9,22.2,7.4,20.5,11.2,6.35,6.2,8.8,21.8,13.1,13.25,14.7,6.65,33.55,15.28,10.61,13.9,13.26333333,11.06,6.4645,2.3605,5.1915,2.39,2.431,0.9065,1.2005,2.575,0.3675,2.8205,1.31,0.508,0.354,0.606,2.4335,0.685,1.331,1.688,0.26,5.4933,1.4961,1.1197,1.2795,1.298433333,5.425159871,5.920169729,6.058356805,6.67239475,9.710673503,9.507067408,13.13950808,11.53276341,10.38466385,22.67945978,7.256838044,8.543508433,12.59965201,17.5949976,15.27681943,9.080453412,109.5584788,28.63526095,8.99215562,26.73248161,6.757350931,13.4486925,12.2543631,36.59976608,20.76760723,8,7,5,7,34.83,61.17,22.17,39.39,7.83,19.2,26.1,-6.9,35.2,5.8,29.4,23.3,20.3,3,25.9,17.4,8.5,1.861,3.001,-1.14,4.84,0.801,4.039,2.222,2.645,-0.423,2.974333333,2.149,0.825333333
1082,Fx,24.6,17.2,5.75,10.65,28.95,39.25,13.65,7.7,10.05,9.15,34.05,26.25,7.45,11.35,7.35,38.85,16.65,15.55,6.35,7.05,17.43,15.96,17.29,16.89,16.71333333,4.7695,3.251,0.802,1.4475,5.6835,6.7105,0.8665,0.598,1.0745,0.6065,4.6155,2.8915,0.2115,0.893,0.3845,5.8635,1.43,1.0925,0.35,0.2815,3.1907,1.9712,1.7992,1.8035,1.857966667,6.836578944,5.349026608,7.168697935,7.659123529,5.097625127,6.139491585,#DIV/0!,14.09144766,10.48334899,16.14102462,11.25057522,23.55790615,105.15553,13.54690771,124.2357875,8.779304489,35.50845385,14.85971428,25.71146223,25.52822756,6.422210428,#DIV/0!,55.54934131,22.07743248,#DIV/0!,7,5,5,6,44.17,35.17,38.5,39.28,28.5,45.7,32.8,12.9,51.5,16.6,34.9,60,17.7,42.3,52.4,22.36666667,30.03333333,8.787,4.634,4.153,8.208,1.023,7.185,10.212,1.515,8.697,9.069,2.390666667,6.678333333
1083,Fx,23.4,26.6,17.9,32.5,9.45,7.8,13.95,21.2,9.3,9.9,14.25,25.7,6.05,10.5,6.85,12.25,12.4,6.45,9.55,10.8,21.97,12.43,12.67,10.29,11.79666667,3.833,4.5145,2.9135,5.0745,1.2015,0.81,2.016,2.704,0.665,0.881,1.858,3.725,0.5835,1.4565,0.5425,1.539,1.083,0.21,0.8495,1.1195,3.5074,1.4152,1.6331,0.9602,1.336166667,6.198610218,6.847580937,6.284565045,6.525842308,10.00858936,20.3236816,6.920507046,8.408837621,26.34839091,40.90433909,7.698963218,7.114505385,10.36736027,7.243742579,12.69275606,7.91648759,13.79232521,31.38775511,15.65336463,13.74923132,7.173037573,20.58115125,9.0234655,16.49983277,15.36814984,3,5,4,4,38.83,43.67,32.5,38.33,23.5,10.4,5.2,5.2,20.8,7.7,13.1,14.4,10.1,4.3,15.2,7.666666667,7.533333333,1.465,0.155,1.31,2.724,0.992,1.732,1.749,1.329,0.42,1.979333333,0.825333333,1.154
1084,Fx,9.65,35.6,8.75,14.9,9.1,5.2,11.45,9.5,6.3,18.6,37.85,40.2,17.55,7.6,7.65,56.35,22.3,22.5,11.45,15.25,15.6,10.21,22.17,25.57,19.31666667,1.675,6.5555,1.492,2.4485,1.078,0.6055,2.071,1.648,0.118,3.042,6.208,6.5115,2.6795,0.7455,1.0725,8.954,2.7475,2.827,1.586,1.942,2.6498,1.4969,3.4434,3.6113,2.850533333,5.734388663,5.839417631,6.465891716,6.813539765,8.507984032,8.734755929,6.238221914,5.731180816,#DIV/0!,6.345742321,6.205310325,7.692246334,7.651598833,10.14276391,7.206669164,6.337433969,95.24397681,97.39073713,7.732138151,8.70988934,6.672244361,#DIV/0!,7.779717713,43.08283508,#DIV/0!,11,4,4,6,50.5,38.83,28.83,39.39,7.67,5.2,5.2,0,60,15.7,44.3,52.7,60,-7.3,39.3,26.96666667,12.33333333,0.684,0.527,0.157,9.957,2.459,7.498,9.467,8.441,1.026,6.702666667,3.809,2.893666667
